1,img/Sheer_Pleated-Front_Blouse/img_00000003,3
1,img/Sheer_Pleated-Front_Blouse/img_00000005,3
1,img/Sheer_Pleated-Front_Blouse/img_00000009,1
1,img/Sheer_Pleated-Front_Blouse/img_00000010,2
1,img/Sheer_Pleated-Front_Blouse/img_00000014,3
1,img/Sheer_Pleated-Front_Blouse/img_00000016,3
1,img/Sheer_Pleated-Front_Blouse/img_00000021,1
1,img/Sheer_Pleated-Front_Blouse/img_00000025,3
1,img/Sheer_Pleated-Front_Blouse/img_00000026,1
1,img/Sheer_Pleated-Front_Blouse/img_00000031,0
1,img/Sheer_Pleated-Front_Blouse/img_00000032,3
1,img/Sheer_Pleated-Front_Blouse/img_00000040,1
1,img/Sheer_Pleated-Front_Blouse/img_00000041,2
1,img/Sheer_Pleated-Front_Blouse/img_00000047,3
1,img/Sheer_Pleated-Front_Blouse/img_00000055,3
1,img/Sheer_Pleated-Front_Blouse/img_00000058,3
1,img/Sheer_Pleated-Front_Blouse/img_00000083,0
1,img/Sheer_Pleated-Front_Blouse/img_00000084,5
1,img/Sheer_Pleated-Front_Blouse/img_00000085,3
1,img/Sheer_Pleated-Front_Blouse/img_00000086,1
1,img/Sheer_Pleated-Front_Blouse/img_00000088,2
1,img/Sheer_Pleated-Front_Blouse/img_00000089,0
1,img/Sheer_Pleated-Front_Blouse/img_00000094,2
1,img/Sheer_Pleated-Front_Blouse/img_00000098,0
1,img/Sheer_Pleated-Front_Blouse/img_00000105,3
1,img/Sheer_Pleated-Front_Blouse/img_00000112,1
1,img/Sheer_Pleated-Front_Blouse/img_00000129,3
1,img/Sheer_Pleated-Front_Blouse/img_00000132,0
1,img/Sheer_Pleated-Front_Blouse/img_00000136,0
1,img/Sheer_Pleated-Front_Blouse/img_00000147,2
1,img/Sheer_Pleated-Front_Blouse/img_00000149,3
1,img/Sheer_Woven_Blouse/img_00000004,1
1,img/Sheer_Woven_Blouse/img_00000006,0
1,img/Sheer_Woven_Blouse/img_00000007,1
1,img/Sheer_Woven_Blouse/img_00000016,0
1,img/Sheer_Woven_Blouse/img_00000018,2
1,img/Sheer_Woven_Blouse/img_00000019,2
1,img/Sheer_Woven_Blouse/img_00000020,0
1,img/Sheer_Woven_Blouse/img_00000021,2
1,img/Sheer_Woven_Blouse/img_00000026,0
1,img/Sheer_Woven_Blouse/img_00000029,1
1,img/Sheer_Woven_Blouse/img_00000030,3
1,img/Sheer_Woven_Blouse/img_00000032,2
1,img/Sheer_Woven_Blouse/img_00000033,3
1,img/Sheer_Woven_Blouse/img_00000034,0
1,img/Sheer_Woven_Blouse/img_00000035,3
